Wavelength (nm),m-Xylene,o-Xylene,p-Xylene
299.9507141,0.019013839,0.018661484,0.106733203
299.4803467,0.01957364,0.019253248,0.108717829
299.0099487,0.01950481,0.019154385,0.10944064
298.5395203,0.020143682,0.019936845,0.112252675
298.0690613,0.020051204,0.0199656,0.11335282
297.4417419,0.02102997,0.020862415,0.116671763
296.9712219,0.021324513,0.021107249,0.118669137
296.5006714,0.021420827,0.021197913,0.11986284
296.0301208,0.022103924,0.021882514,0.123255581
295.5595093,0.022674818,0.022511726,0.125421345
294.9320068,0.022615775,0.022364967,0.126853332
294.4613647,0.023137704,0.022872213,0.129108593
293.9906921,0.023351753,0.022967396,0.13029629
293.519989,0.024041153,0.023512045,0.13387385
293.0492554,0.024629613,0.024357049,0.136303082
292.4215698,0.025394345,0.025189629,0.13969636
291.9507751,0.025846871,0.025656795,0.14203012
291.4799805,0.026011219,0.025774099,0.143348247
291.0091248,0.026679752,0.026222181,0.146188483
290.538269,0.026863886,0.026484141,0.147864252
290.0673828,0.02705887,0.026777977,0.14925389
289.4394836,0.027905621,0.02749096,0.15330559
288.9685364,0.028198127,0.027780069,0.154903814
288.4975586,0.028904593,0.028420489,0.158418909
288.0265503,0.029564355,0.02912765,0.160552383
287.555542,0.029998308,0.02945256,0.162595078
286.9274597,0.030539298,0.029945249,0.165914029
286.4563904,0.030626232,0.030033618,0.16662553
285.98526,0.03135433,0.03074947,0.170025617
285.5141296,0.031647138,0.030958965,0.171751574
285.0429993,0.032046668,0.031459294,0.173448607
284.5718079,0.032565944,0.032027971,0.176241145
283.943512,0.033071343,0.032213911,0.178393915
283.47229,0.034392625,0.033565834,0.182789773
283.0010071,0.034860265,0.034018673,0.184326604
282.5297241,0.035918064,0.034857854,0.187287107
282.0584106,0.036608681,0.035497006,0.19071129
281.4299622,0.037240013,0.035952762,0.192561418
280.9585876,0.039169271,0.03761068,0.198021695
280.4872131,0.04044269,0.038628802,0.200967029
280.0157776,0.041705437,0.039781298,0.203463808
279.544342,0.044305857,0.041914839,0.207986578
279.072876,0.045737483,0.04327118,0.210439667
278.4442139,0.050906189,0.047664505,0.219004393
277.9726868,0.053661101,0.05008617,0.223757222
277.5011597,0.056598503,0.052789386,0.229446903
277.0295715,0.063322395,0.05916743,0.244463161
276.5579834,0.068504222,0.063331351,0.255790174
275.9291382,0.084441565,0.075590365,0.289847702
275.457489,0.098616652,0.085603066,0.31356442
274.9858398,0.11604476,0.096331708,0.336475432
274.5141296,0.152742758,0.121700525,0.367236555
274.0424194,0.181090519,0.140070885,0.37089783
273.5706482,0.225343123,0.173683554,0.352558643
272.9416199,0.291736633,0.235157028,0.308384597
272.4698181,0.317792654,0.274247199,0.291283697
271.9980164,0.315039456,0.343844295,0.280782372
271.5261536,0.290061534,0.368640274,0.279894084
271.0542908,0.244897649,0.397222459,0.285244137
270.4250793,0.207580999,0.411003798,0.301725537
269.9531555,0.211450949,0.40240112,0.31242764
269.4812012,0.23825191,0.373171985,0.33576712
269.0092163,0.254286081,0.358142138,0.349567175
268.5372314,0.269582033,0.347748727,0.367798686
268.0652161,0.267760754,0.358203352,0.374424726
267.4358215,0.260962695,0.383610904,0.366273612
266.9637451,0.267804235,0.415839195,0.357983321
266.4916382,0.280120522,0.427125543,0.361411721
266.0195313,0.306254894,0.438365877,0.373613089
265.5473938,0.335775524,0.446433961,0.383574814
265.0752258,0.346902669,0.451681137,0.382921249
264.4456177,0.345760882,0.475722313,0.364094079
263.9733887,0.340404391,0.488022089,0.358765721
263.5011597,0.334870338,0.505779266,0.357383192
263.0289001,0.329598159,0.518176556,0.360654861
262.5566101,0.325756967,0.520515084,0.362828195
261.9268494,0.306184799,0.507891893,0.368335098
261.4544983,0.296088994,0.498032332,0.372824043
260.9821472,0.286047339,0.483940512,0.381967068
260.5097656,0.282511115,0.473863125,0.389701009
260.0373535,0.282117426,0.469574958,0.391842961
259.5649109,0.282407135,0.461393297,0.387319744
258.934967,0.281382561,0.454061925,0.378188014
258.4624939,0.281149894,0.446771711,0.37378633
257.9899902,0.279357135,0.438463122,0.373519123
257.5174561,0.278179616,0.433704257,0.373584598
257.0448914,0.272308171,0.424654037,0.369512111
256.5723267,0.266965777,0.420635462,0.365572393
255.9421844,0.256711423,0.414348841,0.361637175
255.4695587,0.246690556,0.406276971,0.360850573
254.9969177,0.240848571,0.400035858,0.360340834
254.5242462,0.228076071,0.381005675,0.356122553
254.0515594,0.223340333,0.36981979,0.352694005
253.4212646,0.218051821,0.353481084,0.348630309
252.9485168,0.213146284,0.34127596,0.345359504
252.4757538,0.210551888,0.335721642,0.343194157
252.0029602,0.203197524,0.322821766,0.334305763
251.5301514,0.197541967,0.314631969,0.32755515
251.0573273,0.191479385,0.307696223,0.322949529
250.4268494,0.17830044,0.291983545,0.317979425
249.9542389,0.173986927,0.2856282,0.316526145